route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
B0010,FULLW, TB0010016,,0,,SB00100
B0010,FULLW, TB0010017,,0,,SB00100
B0010,FULLW, TB0010018,,0,,SB00100
B0010,FULLW, TB0010019,,0,,SB00100
B0010,FULLW, TB0010020,,0,,SB00100
B0010,FULLW, TB0010021,,0,,SB00100
B0010,FULLW, TB0010022,,0,,SB00100
B0010,FULLW, TB0010023,,0,,SB00100
B0010,FULLW, TB0010024,,0,,SB00100
B0010,FULLW, TB0010025,,0,,SB00100
B0010,FULLW, TB0010026,,0,,SB00100
B0010,FULLW, TB0010027,,0,,SB00100
B0010,FULLW, TB0010028,,0,,SB00100
B0010,FULLW, TB0010029,,0,,SB00100
B0010,FULLW, TB0010030,,0,,SB00100
B0010,FULLW, TB0010031,,0,,SB00100
B0010,FULLW, TB0010032,,0,,SB00100
B0010,FULLW, TB0010033,,0,,SB00100
B0010,FULLW, TB0010034,,0,,SB00100
B0010,FULLW, TB0010035,,0,,SB00100
B0010,FULLW, TB0010036,,0,,SB00100
B0010,FULLW, TB0010037,,0,,SB00100
B0010,FULLW, TB0010038,,0,,SB00100
B0010,FULLW, TB0010039,,0,,SB00100
B0010,FULLW, TB0010040,,0,,SB00100
B0010,FULLW, TB0010041,,0,,SB00100
B0010,FULLW, TB0010042,,0,,SB00100
B0010,FULLW, TB0010043,,0,,SB00100
B0010,FULLW, TB0010044,,0,,SB00100
B0010,FULLW, TB0010045,,0,,SB00100
B0010,FULLW, TB0010046,,0,,SB00100
B0010,FULLW, TB0010047,,0,,SB00100
B0010,FULLW, TB0010048,,0,,SB00100
B0010,FULLW, TB0010049,,0,,SB00100
B0010,FULLW, TB0010050,,0,,SB00100
B0010,FULLW, TB0010051,,0,,SB00100
B0010,FULLW, TB0010052,,0,,SB00100
B0010,FULLW, TB0010053,,0,,SB00100
B0010,FULLW, TB0010054,,0,,SB00100
B0010,FULLW, TB0010055,,0,,SB00100
B0010,FULLW, TB0010056,,0,,SB00100
B0010,FULLW, TB0010057,,0,,SB00100
B0010,FULLW, TB0010058,,0,,SB00100
B0010,FULLW, TB0010059,,0,,SB00100
B0010,FULLW, TB0010060,,0,,SB00100
B0010,FULLW, TB0010061,,0,,SB00100
B0010,FULLW, TB0010062,,0,,SB00100
B0010,FULLW, TB0010063,,0,,SB00100
B0010,FULLW, TB0010064,,0,,SB00100
B0010,FULLW, TB0010065,,0,,SB00100
B0010,FULLW, TB0010066,,0,,SB00100
B0010,FULLW, TB0010067,,0,,SB00100
B0010,FULLW, TB0010068,,0,,SB00100
B0010,FULLW, TB0010069,,0,,SB00100
B0010,FULLW, TB0010070,,0,,SB00100
B0010,FULLW, TB0010071,,0,,SB00100
B0010,FULLW, TB0010072,,0,,SB00100
B0010,FULLW, TB0010073,,0,,SB00100
B0010,FULLW, TB0010074,,0,,SB00100
B0010,FULLW, TB0010075,,0,,SB00100
B0010,FULLW, TB0010076,,0,,SB00100
B0010,FULLW, TB0010077,,0,,SB00100
B0010,FULLW, TB0010078,,0,,SB00100
B0010,FULLW, TB0010079,,0,,SB00100
B0010,FULLW, TB0010080,,0,,SB00100
B0010,FULLW, TB0010081,,0,,SB00100
B0010,FULLW, TB0010082,,0,,SB00100
B0010,FULLW, TB0010083,,0,,SB00100
B0010,FULLW, TB0010084,,0,,SB00100
B0010,FULLW, TB0010085,,0,,SB00100
B0010,FULLW, TB0010086,,0,,SB00100
B0010,FULLW, TB0010087,,0,,SB00100
B0010,FULLW, TB0010088,,0,,SB00100
B0010,FULLW, TB0010089,,0,,SB00100
B0010,FULLW, TB0010090,,0,,SB00100
B0010,FULLW, TB0010091,,0,,SB00100
B0010,FULLW, TB0010092,,0,,SB00100
B0010,FULLW, TB0010093,,0,,SB00100
B0010,FULLW, TB0010094,,0,,SB00100
B0010,FULLW, TB0010095,,0,,SB00100
B0010,FULLW, TB0010096,,0,,SB00100
B0010,FULLW, TB0010097,,0,,SB00100
B0010,FULLW, TB0010098,,0,,SB00100
B0010,FULLW, TB0010099,,0,,SB00100
B0010,FULLW, TB00100100,,0,,SB00100
B0010,FULLW, TB00100101,,0,,SB00100
B0010,FULLW, TB00100102,,0,,SB00100
B0010,FULLW, TB00100103,,0,,SB00100
B0010,FULLW, TB00100104,,0,,SB00100
B0010,FULLW, TB00100105,,0,,SB00100
B0010,FULLW, TB00100106,,0,,SB00100
B0010,FULLW, TB00100107,,0,,SB00100
B0010,FULLW, TB001011,,0,,SB00101
B0010,FULLW, TB001012,,0,,SB00101
B0010,FULLW, TB001013,,0,,SB00101
B0010,FULLW, TB001014,,0,,SB00101
B0010,FULLW, TB001015,,0,,SB00101
B0010,FULLW, TB001016,,0,,SB00101
B0010,FULLW, TB001017,,0,,SB00101
B0010,FULLW, TB001018,,0,,SB00101
B0010,FULLW, TB001019,,0,,SB00101
B0010,FULLW, TB0010110,,0,,SB00101
B0010,FULLW, TB0010111,,0,,SB00101
B0010,FULLW, TB0010112,,0,,SB00101
B0010,FULLW, TB0010113,,0,,SB00101
B0010,FULLW, TB0010114,,0,,SB00101
B0010,FULLW, TB0010115,,0,,SB00101
B0010,FULLW, TB0010116,,0,,SB00101
B0010,FULLW, TB0010117,,0,,SB00101
B0010,FULLW, TB0010118,,0,,SB00101
B0010,FULLW, TB0010119,,0,,SB00101
B0010,FULLW, TB0010120,,0,,SB00101
B0010,FULLW, TB0010121,,0,,SB00101
B0010,FULLW, TB0010122,,0,,SB00101
B0010,FULLW, TB0010123,,0,,SB00101
B0010,FULLW, TB0010124,,0,,SB00101
B0010,FULLW, TB0010125,,0,,SB00101
B0010,FULLW, TB0010126,,0,,SB00101
B0010,FULLW, TB0010127,,0,,SB00101
B0010,FULLW, TB0010128,,0,,SB00101
B0010,FULLW, TB0010129,,0,,SB00101
B0010,FULLW, TB0010130,,0,,SB00101
B0010,FULLW, TB0010131,,0,,SB00101
B0010,FULLW, TB0010132,,0,,SB00101
B0010,FULLW, TB0010133,,0,,SB00101
B0010,FULLW, TB0010134,,0,,SB00101
B0010,FULLW, TB0010135,,0,,SB00101
B0010,FULLW, TB0010136,,0,,SB00101
B0010,FULLW, TB0010137,,0,,SB00101
B0010,FULLW, TB0010138,,0,,SB00101
B0010,FULLW, TB0010139,,0,,SB00101
B0010,FULLW, TB0010140,,0,,SB00101
B0010,FULLW, TB0010141,,0,,SB00101
B0010,FULLW, TB0010142,,0,,SB00101
B0010,FULLW, TB0010143,,0,,SB00101
B0010,FULLW, TB0010144,,0,,SB00101
B0010,FULLW, TB0010145,,0,,SB00101
B0010,FULLW, TB0010146,,0,,SB00101
B0010,FULLW, TB0010147,,0,,SB00101
B0010,FULLW, TB0010148,,0,,SB00101
B0010,FULLW, TB0010149,,0,,SB00101
B0010,FULLW, TB0010150,,0,,SB00101
B0010,FULLW, TB0010151,,0,,SB00101
B0010,FULLW, TB0010152,,0,,SB00101
B0010,FULLW, TB0010153,,0,,SB00101
B0010,FULLW, TB0010154,,0,,SB00101
B0010,FULLW, TB0010155,,0,,SB00101
B0010,FULLW, TB0010156,,0,,SB00101
B0010,FULLW, TB0010157,,0,,SB00101
B0010,FULLW, TB0010158,,0,,SB00101
B0010,FULLW, TB0010159,,0,,SB00101
B0010,FULLW, TB0010160,,0,,SB00101
B0010,FULLW, TB0010161,,0,,SB00101
B0010,FULLW, TB0010162,,0,,SB00101
B0010,FULLW, TB0010163,,0,,SB00101
B0010,FULLW, TB0010164,,0,,SB00101
B0010,FULLW, TB0010165,,0,,SB00101
B0010,FULLW, TB0010166,,0,,SB00101
B0010,FULLW, TB0010167,,0,,SB00101
B0010,FULLW, TB0010168,,0,,SB00101
B0010,FULLW, TB0010169,,0,,SB00101
B0010,FULLW, TB0010170,,0,,SB00101
B0010,FULLW, TB0010171,,0,,SB00101
B0010,FULLW, TB0010172,,0,,SB00101
B0010,FULLW, TB0010173,,0,,SB00101
B0010,FULLW, TB0010174,,0,,SB00101
B0010,FULLW, TB0010175,,0,,SB00101
B0010,FULLW, TB0010176,,0,,SB00101
B0010,FULLW, TB0010177,,0,,SB00101
B0010,FULLW, TB0010178,,0,,SB00101
B0010,FULLW, TB0010179,,0,,SB00101
B0010,FULLW, TB0010180,,0,,SB00101
B0010,FULLW, TB0010181,,0,,SB00101
B0010,FULLW, TB0010182,,0,,SB00101
B0010,FULLW, TB0010183,,0,,SB00101
B0010,FULLW, TB0010184,,0,,SB00101
B0010,FULLW, TB0010185,,0,,SB00101
B0010,FULLW, TB0010186,,0,,SB00101
B0010,FULLW, TB0010187,,0,,SB00101
B0010,FULLW, TB0010188,,0,,SB00101
B0010,FULLW, TB0010189,,0,,SB00101
B0010,FULLW, TB0010190,,0,,SB00101
B0010,FULLW, TB0010191,,0,,SB00101
B0010,FULLW, TB0010192,,0,,SB00101
B0010,FULLW, TB0010193,,0,,SB00101
B0010,FULLW, TB0010194,,0,,SB00101
B0010,FULLW, TB0010195,,0,,SB00101
B0010,FULLW, TB0010196,,0,,SB00101
B0010,FULLW, TB0010197,,0,,SB00101
B0010,FULLW, TB0010198,,0,,SB00101
B0010,FULLW, TB0010199,,0,,SB00101
B0010,FULLW, TB00101100,,0,,SB00101
B0010,FULLW, TB00101101,,0,,SB00101
B0010,FULLW, TB00101102,,0,,SB00101
B0010,FULLW, TB00101103,,0,,SB00101
B0010,FULLW, TB00101104,,0,,SB00101
B0010,FULLW, TB00101105,,0,,SB00101
B0010,FULLW, TB00101106,,0,,SB00101
B0010,FULLW, TB00101107,,0,,SB00101
B0011,FULLW, TB001101,,0,,SB00110
B0011,FULLW, TB001102,,0,,SB00110
B0011,FULLW, TB001103,,0,,SB00110
B0011,FULLW, TB001104,,0,,SB00110
B0011,FULLW, TB001105,,0,,SB00110
B0011,FULLW, TB001106,,0,,SB00110
B0011,FULLW, TB001107,,0,,SB00110
B0011,FULLW, TB001108,,0,,SB00110
B0011,FULLW, TB001109,,0,,SB00110
B0011,FULLW, TB0011010,,0,,SB00110
B0011,FULLW, TB0011011,,0,,SB00110
B0011,FULLW, TB0011012,,0,,SB00110
B0011,FULLW, TB0011013,,0,,SB00110
B0011,FULLW, TB0011014,,0,,SB00110
B0011,FULLW, TB0011015,,0,,SB00110
B0011,FULLW, TB0011016,,0,,SB00110
B0011,FULLW, TB0011017,,0,,SB00110
B0011,FULLW, TB0011018,,0,,SB00110
B0011,FULLW, TB0011019,,0,,SB00110
B0011,FULLW, TB0011020,,0,,SB00110
B0011,FULLW, TB0011021,,0,,SB00110
B0011,FULLW, TB0011022,,0,,SB00110
B0011,FULLW, TB0011023,,0,,SB00110
B0011,FULLW, TB0011024,,0,,SB00110
B0011,FULLW, TB0011025,,0,,SB00110
B0011,FULLW, TB0011026,,0,,SB00110
B0011,FULLW, TB0011027,,0,,SB00110
B0011,FULLW, TB0011028,,0,,SB00110
B0011,FULLW, TB0011029,,0,,SB00110
B0011,FULLW, TB0011030,,0,,SB00110
B0011,FULLW, TB0011031,,0,,SB00110
B0011,FULLW, TB0011032,,0,,SB00110
B0011,FULLW, TB0011033,,0,,SB00110
B0011,FULLW, TB0011034,,0,,SB00110
B0011,FULLW, TB0011035,,0,,SB00110
B0011,FULLW, TB0011036,,0,,SB00110
B0011,FULLW, TB0011037,,0,,SB00110
B0011,FULLW, TB0011038,,0,,SB00110
B0011,FULLW, TB0011039,,0,,SB00110
B0011,FULLW, TB0011040,,0,,SB00110
B0011,FULLW, TB0011041,,0,,SB00110
B0011,FULLW, TB0011042,,0,,SB00110
B0011,FULLW, TB0011043,,0,,SB00110
B0011,FULLW, TB0011044,,0,,SB00110
B0011,FULLW, TB0011045,,0,,SB00110
B0011,FULLW, TB0011046,,0,,SB00110
B0011,FULLW, TB0011047,,0,,SB00110
B0011,FULLW, TB0011048,,0,,SB00110
B0011,FULLW, TB0011049,,0,,SB00110
B0011,FULLW, TB0011050,,0,,SB00110
B0011,FULLW, TB0011051,,0,,SB00110
B0011,FULLW, TB0011052,,0,,SB00110
B0011,FULLW, TB0011053,,0,,SB00110
B0011,FULLW, TB0011054,,0,,SB00110
B0011,FULLW, TB0011055,,0,,SB00110
B0011,FULLW, TB0011056,,0,,SB00110
B0011,FULLW, TB0011057,,0,,SB00110
B0011,FULLW, TB0011058,,0,,SB00110
B0011,FULLW, TB0011059,,0,,SB00110
B0011,FULLW, TB0011060,,0,,SB00110
B0011,FULLW, TB0011061,,0,,SB00110
B0011,FULLW, TB0011062,,0,,SB00110
B0011,FULLW, TB0011063,,0,,SB00110
B0011,FULLW, TB0011064,,0,,SB00110
B0011,FULLW, TB0011065,,0,,SB00110
B0011,FULLW, TB0011066,,0,,SB00110
B0011,FULLW, TB0011067,,0,,SB00110
B0011,FULLW, TB0011068,,0,,SB00110
B0011,FULLW, TB0011069,,0,,SB00110
B0011,FULLW, TB0011070,,0,,SB00110
B0011,FULLW, TB0011071,,0,,SB00110
B0011,FULLW, TB0011072,,0,,SB00110
B0011,FULLW, TB0011073,,0,,SB00110
B0011,FULLW, TB0011074,,0,,SB00110
B0011,FULLW, TB0011075,,0,,SB00110
B0011,FULLW, TB0011076,,0,,SB00110
B0011,FULLW, TB0011077,,0,,SB00110
B0011,FULLW, TB0011078,,0,,SB00110
B0011,FULLW, TB0011079,,0,,SB00110
B0011,FULLW, TB0011080,,0,,SB00110
B0011,FULLW, TB0011081,,0,,SB00110
B0011,FULLW, TB0011082,,0,,SB00110
B0011,FULLW, TB0011083,,0,,SB00110
B0011,FULLW, TB0011084,,0,,SB00110
B0011,FULLW, TB0011085,,0,,SB00110
