route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
B0172,A003,8AIR, สะพานพระพุทธยอดฟ้า - ถนนนิมิตรใหม่,,3,,FFFFFF,000000
B0173,A003,90ร, ท่าน้ำบางพูน - ย่านสินค้าพหลโยธิน,,3,,FFFFFF,000000
B0174,A003,91, หมู่บ้านเศรษฐกิจ - สนามหลวง,,3,,FFFFFF,000000
B0175,A003,91ก, ม.กรุงเทพธนบุรี - บางกอกใหญ่,,3,,FFFFFF,000000
B0176,A003,92ร, การเคหะชุมชนร่วมเกล้า - อนุสาวรีย์ชัยสมรภูมิ,,3,,FFFFFF,000000
B0177,A003,93, หมู่บ้านนักกีฬา - สี่พระยา,,3,,FFFFFF,000000
B0178,A003,95, อู่บางเขน - รามคำแหง,,3,,FFFFFF,000000
B0179,A003,95?, รังสิต - บางกะปิ,,3,,FFFFFF,000000
B0180,A003,96, สวนสยาม - หมอชิต,,3,,FFFFFF,000000
B0181,A003,97, กระทรวงสาธาณสุข - รพ.สงฆ์,,3,,FFFFFF,000000
B0182,A003,98ร, ห้วยขวาง - กล้วยน้ำไท,,3,,FFFFFF,000000
B0183,A003,99ร, เทเวศน์ - ตลาดลำสาลี,,3,,FFFFFF,000000
B0184,A003,9ร, อู่กัลปพฤกษ์ - สถานีขนส่งผู้โดยสารจตุจักร,,3,,FFFFFF,000000
B0185,A007,BRT, สถานีสาทร - สถานีราชพฤกษ์,,3,,FFFFFF,000000
B0186,A001,BTS1, สถานีรถไฟฟ้าBTSหมอชิต - สถานีรถไฟฟ้าBTSแบริ่ง,,1,,65b724,FFFFFF
B0187,A001,BTS2, BTSบางหว้า - BTSสนามกีฬาแห่งชาติ,,1,,175a0c,FFFFFF
B0188,A005,CPX-B, ท่าเรือพระอาทิตย์ - ท่าเรือสาธร,,4,,000000,FFFFFF
B0189,A005,CPX-G, ท่าเรือปากเกร็ด - ท่าเรือสาทร,,4,,000000,FFFFFF
B0190,A005,CPX-O, ท่าเรือนนทบุรี - ท่าเรือวัดราชสิงขร,,4,,000000,FFFFFF
B0191,A005,CPX-T, นนทบุรี - วัดราชสิงขร,,4,,000000,FFFFFF
B0192,A005,CPX-Y, ท่าเรือนนทบุรี - ท่าเรือราษฎร์บูรณะ,,4,,000000,FFFFFF
B0193,A002,MRT, สถานีรถไฟฟ้า MRT บางซื่อ - สถานีรถไฟฟ้า MRT หัวลำโพง,,1,,000066,FFFFFF
B0194,A008,SANSAB, ท่าเรือวัดศรีบุญเรือง - ท่าเรือผ่านฟ้าลีลาศ,,4,,137590,FFFFFF
B0195,A006,SRT-City, Airport link สุวรรณภูมิ - Airport link พญาไท,,1,,761f21,FFFFFF
B0196,A006,SRT-MAS, Airport link สุวรรณภูมิ - Airport link มักกะสัน,,1,,761f21,FFFFFF
B0197,A006,SRT-PTH, Airport link สุวรรณภูมิ - Airport link พญาไท,,1,,761f21,FFFFFF
