stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url
BS000124,ห้างบิ๊กซีดาวคะนอง,,13.69905031802628,100.4837885676718,
BS000123,องค์การโทรศัพท์ดาวคะนอง,,13.69988986993591,100.4841581571986,
BS000122,โรงเรียนแสงทองโทรทัศน์,,13.7016164977664,100.484741358247,
BS000121,โกบ๊อ,,13.7030441545357,100.485219507789,
BS000120,แยกแซ่ซิ้ม,,13.7041897101976,100.485644365066,
BS000119,วัดสุทธาวาส,,13.7090053094901,100.480378632683,
BS000118,เดอะมอลล์ท่าพระ,,13.7137399034438,100.4789008473,
BS000117,ตรงข้ามธนบุรีพลาซ่า,,13.7183755530504,100.477816391898,
BS000116,ธนบุรีพลาซ่า,,13.7206671920453,100.477364351198,
BS000115,ตลาดพลู,,13.7217286691384,100.477185249786,
BS000114,สำนักงานเขตบางกอกใหญ่,,13.7273482264606,100.475332904909,
BS000113,สำนักงานเขตบางกอกใหญ่,,13.7286768636804,100.4722865024,
BS000112,วัดประดู่ในทรงธรรม,,13.7279040818213,100.470893240753,
BS000111,โรงเรียนวิมลบริหารธุรกิจ,,13.726915260117,100.469085422061,
BS000110,โรงเรียนวัดนวลนรดิศ,,13.7252472819071,100.465977158552,
BS000109,โรงพยาบาลบางไผ่,,13.72476785,100.46517988,
BS000108,โรงพยาบาลพญาไท 3,,13.7239384032601,100.463643030053,
BS000107,ภัตตาคารเสริมมิตร,,13.722935516076,100.461758663923,
BS000106,ตรงข้ามซอยเพชรเกษม 25/1,,13.72179982,100.45973653,
BS000105,วัดประดู่บางจาก,,13.7197114059253,100.456025238888,
BS000104,มหาวิทยาลัยสยาม,,13.7184873894077,100.453936854243,
BS000103,ซอยเพชรเกษม 40 แยก 1,,13.71774322,100.45211738,
BS000102,โรงเรียนชาญกิจวิทยา,,13.7172082776355,100.450753331653,
BS000101,ซอยเพชรเกษม 46,,13.71609251,100.44709566,
BS000100,ม. สยาม,,13.7156971833427,100.445698804751,
BS000099,ซอยเพชรเกษม 48,,13.71522318,100.44447578,
BS000098,โรงงานรองเท้านันยาง,,13.71456792,100.44235182,
BS000097,สำนักงานเขต ภาษีเจริญ,,13.7135313715282,100.439214973663,
BS000096,ศูนย์การศึกษาปัญญาภิวัฒน์ เพชรเกษม 54,,13.71314010191699,100.4361592428802,
BS000095,ห้างฟิวเจอร์ปาร์คบางแค,,13.7130424715241,100.434245439057,
BS000094,อู่เจริญเซอร์วิส,,13.71272012,100.43131489,
BS000093,หน้าธนาคารแสตนดาร์ดชาเตอร์,,13.71260801,100.42988513,
BS000092,บ้านพักคนชราบางแค,,13.7124804274754,100.427402864789,
BS000091,ตลาดบางแค,,13.7123447874487,100.425347278732,
BS000090,วัดนิมมารนรดี,,13.712204508081,100.423392136372,
BS000089,ห้างโลตัสบางแค,,13.7119432095353,100.420028598229,
BS000088,ศูนย์การเรียนรู้เพื่อการศึกษาภาษาอังกฤษ,,13.71159793,100.41712462,
BS000087,ธนาคารไทยพาณิชย์บางแค,,13.711433815974,100.413581542826,
BS000086,ห้างเดอะมอลล์บางแค,,13.7112299399593,100.409968556191,
BS000085,ต่างระดับกาญจนาภิเศก,,13.71092797146778,100.4080332160431,
BS000084,เพชรเกษม ซอย 51,,13.7104164031393,100.400719949891,
BS000083,เพชรเกษม 92,,13.71000899,100.39800729,
BS000197,อู่แพรกษา,,13.58214063498948,100.6197610152863,
BS000282,หมู่บ้านศิวะนคร แพรกษา,,13.57901447872214,100.6254105658929,
BS000281,หมู่บ้านศิวะนคร,,13.57919598830013,100.6255773845654,
BS000280,บิ๊กซีสมุทรปราการ,,13.5846552,100.60786038,
BS000279,สายลวด,,13.57894166666667,100.6028027777778,
BS000278,ปั๊มน้ำมัน,,13.58117307,100.60175254,
BS000277,โรงเรียนป๊วยฮั้วสมุทรปราการ,,13.58293947985301,100.6009889292386,
BS000276,โรงพยาบาลสมุทรปราการ,,13.58456755342135,100.6001218846027,
BS000275,วงเวียนท้ายบ้าน,,13.59005412380508,100.5974603239923,
BS000274,ศาลากลางจังหวัดสมุทรปราการ,,13.5993170488933,100.59756325328,
BS000273,โรงเรียนสารพัดช่างสมุทรปราการ,,13.6015959145432,100.597259521743,
BS000272,สวนบุญศิริ,,13.6069620045734,100.595472828864,
BS000271,ไปรษณีย์ปากน้ำ,,13.611571183188,100.593762282608,
BS000270,วัดบางนางเกรง,,13.6141275597741,100.592843319126,
BS000269,นารถสุนทร,,13.6164442893546,100.59200639697,
BS000268,โรงนม,,13.6191327439623,100.591047224923,
BS000267,อุดมเดช,,13.6217861435299,100.590087815147,
BS000266,โค้งเกริก,,13.6264985780501,100.588357008958,
BS000265,วัดไตร,,13.63203653583765,100.5900015187274,
BS000264,ฮิตาชิ,,13.6359491214386,100.591569029602,
BS000263,ชัยนิยม,,13.63760340311386,100.5921906523014,
